id,idCandidate,idProvinsi,idKabkot,candidate,provinsi,kabkot,date,time,confidence,supportive,positive,undecided,unsupportive,uncomfortable,negative,dissapproval
clp8hl6836la0jq7wjd0e77dc,7,1,17,Jokowi,ACEH,KAB. BENER MERIAH,2023-11-22,23:00,1073,3678,3678,525,567,985,375,2237
clp8hl6836la1jq7wsf37bde9,7,1,18,Jokowi,ACEH,KAB. PIDIE JAYA,2023-11-22,23:00,10244,7967,7967,1425,1623,515,860,1082
clp8hl6836la2jq7wsvo4lqht,7,1,19,Jokowi,ACEH,KOTA BANDA ACEH,2023-11-22,23:00,2553,443,443,345,396,2240,782,476
clp8hl6836la3jq7wss3clatt,7,1,20,Jokowi,ACEH,KOTA SABANG,2023-11-22,23:00,1326,1495,1495,2185,658,3470,536,503
clp8hl6836l9ujq7wtc2lthxp,7,1,11,Jokowi,ACEH,KAB. BIREUEN,2023-11-22,23:00,1615,2717,2717,1843,372,526,763,605
clp8hl6836l9kjq7w8jcj3k2s,7,1,1,Jokowi,ACEH,KAB. ACEH SELATAN,2023-11-22,23:00,3530,2086,2086,1064,585,825,251,637
clp98hpr8000vjqassknzlm5t,7,1,17,Jokowi,ACEH,KAB. BENER MERIAH,2023-11-22,23:00,1,1,1,4,321,321,42,432
clp98hpr6000tjqaszhmgdrud,7,1,16,Jokowi,ACEH,KAB. ACEH TAMIANG,2023-11-22,23:00,1,1,1,4,321,321,42,432
clp98hpr3000rjqas3bi9llpb,7,1,15,Jokowi,ACEH,KAB. NAGAN RAYA,2023-11-22,23:00,1,1,1,4,321,321,42,432
clp8hl6836la4jq7w37fvutzk,7,1,21,Jokowi,ACEH,KOTA LHOKSEUMAWE,2023-11-22,23:00,1171,18,18,2798,30,63,15,540
clp8hl6836la5jq7w087r1dtl,7,1,22,Jokowi,ACEH,KOTA LANGSA,2023-11-22,23:00,2512,213,213,3498,555,8,3,16
clp8hl6836la6jq7wf48wnjsq,7,1,23,Jokowi,ACEH,KOTA SUBULUSSALAM,2023-11-22,23:00,624,537,537,2536,22,148,12,378
clp98hpr9000xjqas4t4wzlaq,7,1,18,Jokowi,ACEH,KAB. PIDIE JAYA,2023-11-22,23:00,1,1,1,4,321,321,42,432
clp8hl6836l9pjq7wmtm8d6q0,7,1,6,Jokowi,ACEH,KAB. ACEH BESAR,2023-11-22,23:00,3139,1363,1363,4268,239,4030,22353,5672
